port_id,name,country,latitude,longitude
wpi:33680,Warren Point,United Kingdom,54.100000000000001,-6.250000000000000
wpi:34390,New Ross,Ireland,52.383333000000000,-6.950000000000000
wpi:34025,Drogheda,Ireland,53.716667000000001,-6.300000000000000
wpi:34350,Cobh,Ireland,51.850000000000001,-8.300000000000001
wpi:34420,Rosslare,Ireland,52.250000000000000,-6.333333000000000
wpi:62640,Provideniya,Russia,64.421111111000002,-173.227499999999992
wpi:34400,Waterford,Ireland,52.266666999999998,-7.116667000000000
wpi:49330,Pamban,India,9.283333333000000,79.216666666999998
wpi:27825,Uto,Finland,59.783333333000002,21.366666667000001
wpi:1675,Bay Bulls,Canada,47.316666667000000,-52.816666667000000
wpi:1700,Placentia Bay,Canada,47.253554536000003,-54.014215767000003
wpi:1760,Miquelon,Saint Pierre and Miquelon,47.100000000000001,-56.366666666999997
wpi:1730,Marystown,Canada,47.183333333000000,-55.116666666999997
wpi:1714,Arnold's Cove,Canada,47.764799042999996,-53.981065504000000
wpi:1790,Burgeo,Canada,47.616666666999997,-57.600000000000001
wpi:1784,Fortune,Canada,47.073282200999998,-55.830687118999997
wpi:1712,Long Harbour,Canada,47.423624109000002,-53.826773459000002
wpi:1658,Long Pond,Canada,47.519201164000002,-52.978413427000000
wpi:1785,Grand Bank,Canada,47.100000000000001,-55.750000000000000
wpi:1650,Bay Roberts,Canada,47.589050000000000,-53.262650000000001
wpi:1786,Harbour Breton,Canada,47.483333332999997,-55.799999999999997
wpi:1655,Holyrood,Canada,47.399999999999999,-53.133333333000003
wpi:1470,Baie Verte,Canada,49.916666667000001,-56.200000000000003
wpi:1420,St Anthony,Canada,51.366666666999997,-55.566666667000000
wpi:1591,Carmanville,Canada,49.399999999999999,-54.266666667000003
wpi:1090,Churchill,Canada,58.783333333000002,-94.200000000000003
wpi:1500,Springdale,Canada,49.500000000000000,-56.066666667000000
wpi:1450,Roddickton,Canada,50.866666666999997,-56.133333333000003
wpi:1560,Lewisporte,Canada,49.250000000000000,-55.049999999999997
wpi:1150,Deception Bay,Canada,62.149999999999999,-74.683333332999993
wpi:1260,Nain,Canada,56.549999999999997,-61.683333333000000
